region;ind1;ind2;ind3;ind4;ind5;ind6;ind7;ind8;ind9;ind10;ind11;ind12
Республика Мордовия;1.70497831485506;474460.942408377;21.7655173826622;17.4721189591078;33.6734693877551;0.227927979531829;0.0183774391873831;0.84;12.765861708049;3.20154248995694;97.7416009424084;2.13408635005544
Республика Татарстан;5.12802502834426;711742.351205116;18.9795384721182;32.0066334991708;46.0251046025105;0.719581973993718;0.0774646605409582;1.88;3.70113998414831;3.59700703899717;67.1456157965006;6.17757922421934
Удмуртская Республика;0.585704445938723;550063.824884793;8.80441264736737;13.412017167382;24.1279069767442;0.242093607668901;0.0329113429780303;1.02;15.0321765668969;2.82644080412341;43.8865607142857;0.524815327613892
Чувашская Республика;1.88615563545901;574159.304511278;5.1165605584272;13.8312586445367;31.8367346938776;0.18521580949231;0.0125334006423368;0.64;2.71269266556684;2.97401113069273;17.0451594924812;1.33310862371674
Пермский край;2.70409234191736;931219.40660965;4.686615848201;11.5769712140175;24.3523316062176;0.805843664116941;0.0678130503960725;1.65;1.73315673268684;2.12841874305404;10.980358684405;2.99593830455356
Кировская область;0.970816148769887;866059.85778927;5.91180501204209;11.6036505867014;21.7241379310345;0.260213856429906;0.034313915133614;0.52;6.08952067755868;2.20610609595294;17.7097849385908;0.811286301936031
Нижегородская область;6.69540681434404;855976.116701147;10.1705993911019;15.3621779290228;30.4832713754647;2.56189263010176;0.12822713488543;1;1.51904128802342;2.77317681554401;5.08197507758134;6.21999045134841
Оренбургская область;1.29480563630772;822746.760895171;7.62747438984491;6.98757763975155;13.7777777777778;0.0954572898899599;0.0228242989960681;0.58;5.89082575481791;2.2237621437872;145.043566195524;1.33030897186041
Пензенская область;3.10566319135968;521552.961591856;5.00052445049628;14.5933014354067;20.9302325581395;0.714206630785578;0.0317278281144912;0.95;1.61013095831136;2.42149018707092;4.8220393799167;2.1831495457386
Самарская область;2.86861416708942;955895.093016986;9.48440313110084;17.9499754781756;29.4039735099338;0.458477727859043;0.0309030552614615;1.17;3.30626657286714;3.16847802131768;28.3961841062281;2.67864238952158
Саратовская область;0.331126028947886;593173.102343281;1.30076274807894;7.91420118343195;17.1052631578947;0.434665652185647;0.0744320313676603;0.83;3.92830111305945;2.85126663683458;2.82681169637493;0.300924036120224
Ульяновская область;3.68143724402922;939188.086134031;9.40842157268146;14.1129032258065;25.9786476868327;0.844163566247048;0.0380544654536806;1.3;2.55563817852405;2.93214468450258;8.73665993157577;2.88489149815709
Курганская область;0.521854759152934;408613.043478261;2.0473201104523;11.8279569892473;19.6172248803828;0.189804772234273;0.0468617372441762;0.64;3.92316075410614;1.83321642123819;7.92700155279503;0.383244176796485
Свердловская область;1.40151705128809;777315.927593578;6.60249959159161;11.7538005190953;24.3975903614458;1.09310237338492;0.128167458888721;1.45;4.71096629578888;2.81117441536087;10.8510655068904;1.45966955765196
Ханты-Мансийский автономный округ - Югра;1.1822033593588;1860156.06995885;0.356315211294591;5.96825396825397;10;0.108858287117092;0.00839955919113365;0.28;0.301399254598504;1.14607057369729;27.1022118312757;1.26776164830843
Ямало-Ненецкий автономный округ;0.0511258369286648;2086448.46153846;0.067313269408099;4.65328467153285;8.66666666666667;0.0419018272419895;0.00773572195236729;0.79;1.31661941303807;0.0330198079771167;35.58761;0.0656761997887986
Тюменская область;0.487276013924321;1886662.19649461;4.66601061171812;11.5351993214589;23.2415902140673;0.891133799032778;0.0672040121798316;0.39;9.57570345837464;2.92311266374893;16.1261827464223;0.608915371558021
Челябинская область;1.46228953866089;801834.3106833;11.6080190907688;12.0679554774458;25.0374812593703;0.91387597190834;0.0696214802232749;0.72;7.93824942589619;2.38941456224038;18.564491754797;1.60580674547776
Республика Алтай ;2.67618258751039;569378.90625;5.89481467427894;5.28846153846154;15.2173913043478;0.149527469831665;0.0303727673095569;0;2.20269525023806;1.2353644419986;8.072521875;0.51203496818742
Республика Тыва;0.149694668781241;725010.164835165;0.141355666415949;2.9535864978903;9.09090909090909;0.31174525958788;0.0633767835425909;0.09;;1.7781156369057;;0.0685262586574012
Республика Хакасия;0.0502879136648612;1231226.36363636;0.106238389806913;4.33734939759036;9.77443609022556;0.0446202210729135;0.0223101105364567;0.36;;1.43093352093918;;0.0617494228229592
